line,operator,direction,sequence,stop_id,distance,WD_FirstBus,WD_LastBus,SAT_FirstBus,SAT_LastBus,SUN_FirstBus,SUN_LastBus
178,SMRT,1,1,46009,0,530,2330,530,2330,530,2330
178,SMRT,1,2,46291,0.6,533,2333,533,2333,533,2334
178,SMRT,1,3,46199,1.1,535,2335,535,2335,534,2336
178,SMRT,1,4,46181,1.4,537,2336,536,2336,535,2337
178,SMRT,1,5,46209,1.6,537,2337,537,2337,536,2338
178,SMRT,1,6,46709,1.8,539,2338,538,2338,537,2340
178,SMRT,1,7,46119,2.2,540,2339,539,2339,538,2341
178,SMRT,1,8,46091,2.7,542,2340,540,2340,539,2342
178,SMRT,1,9,46059,3.1,544,2342,542,2342,541,2344
178,SMRT,1,10,46049,3.4,545,2343,543,2343,542,2345
178,SMRT,1,11,46039,3.9,548,2346,546,2345,544,2347
178,SMRT,1,12,46029,4.4,549,2347,547,2346,546,2348
178,SMRT,1,13,45139,4.9,551,2349,549,2348,549,2349
178,SMRT,1,14,45129,5.3,551,2349,549,2348,549,2349
178,SMRT,1,15,45119,5.7,552,2350,550,2349,550,2350
178,SMRT,1,16,45109,6.2,554,2352,552,2351,551,2351
178,SMRT,1,17,45099,6.7,555,2353,553,2352,552,2352
178,SMRT,1,18,45079,7.1,556,2354,554,2353,553,2353
178,SMRT,1,19,45069,7.6,557,2355,555,2354,554,2354
178,SMRT,1,20,45059,7.9,557,2355,555,2354,554,2354
178,SMRT,1,21,45049,8.5,559,2356,557,2355,556,2355
178,SMRT,1,22,45039,8.7,600,2357,558,2356,557,2356
178,SMRT,1,23,45029,9,601,2358,559,2357,558,2357
178,SMRT,1,24,44999,9.2,601,2358,559,2357,558,2357
178,SMRT,1,25,45019,9.6,602,2359,600,2358,559,2358
178,SMRT,1,26,44069,9.9,603,2359,601,2358,600,2358
178,SMRT,1,27,44059,10.1,604,0,601,2359,600,2359
178,SMRT,1,28,44049,10.6,605,1,603,0,602,0
178,SMRT,1,29,44029,10.9,607,2,604,1,603,1
178,SMRT,1,30,44019,11.2,607,2,604,1,603,1
178,SMRT,1,31,43119,11.5,609,3,605,2,604,2
178,SMRT,1,32,43109,11.9,610,4,606,3,605,3
178,SMRT,1,33,43099,12.1,611,5,607,4,606,4
178,SMRT,1,34,43089,12.4,611,5,607,4,606,4
178,SMRT,1,35,43069,12.9,613,6,608,5,607,5
178,SMRT,1,36,43059,13.3,613,7,609,6,608,6
178,SMRT,1,37,43049,13.6,615,8,610,7,609,7
178,SMRT,1,38,43029,14.1,616,9,610,8,609,7
178,SMRT,1,39,43631,14.7,618,10,612,9,611,9
178,SMRT,1,40,43201,15.2,619,11,613,10,612,10
178,SMRT,1,41,43191,15.8,621,13,614,12,613,11
178,SMRT,1,42,43181,16.2,623,14,615,13,614,12
178,SMRT,1,43,43171,16.6,624,14,616,14,615,13
178,SMRT,1,44,43419,17.2,626,16,617,15,616,14
178,SMRT,1,45,43401,17.6,628,17,618,16,617,15
178,SMRT,1,46,43531,18,629,18,620,18,619,17
178,SMRT,1,47,43341,18.4,631,19,621,19,620,18
178,SMRT,1,48,43453,18.9,633,20,622,20,621,19
178,SMRT,1,49,28299,19.3,635,20,623,21,622,20
178,SMRT,1,50,28289,19.6,636,21,624,21,622,21
178,SMRT,1,51,28279,19.9,637,22,625,22,623,22
178,SMRT,1,52,28269,20.2,639,22,626,23,624,23
178,SMRT,1,53,28259,20.6,640,23,627,24,625,24
178,SMRT,1,54,28249,20.9,642,24,628,25,626,25
178,SMRT,1,55,28239,21.4,643,24,628,25,626,25
178,SMRT,1,56,28309,21.9,644,25,630,26,627,26
178,SMRT,1,57,20061,22.6,646,26,631,27,628,27
178,SMRT,1,58,20081,23.2,647,27,632,28,629,28
178,SMRT,1,59,21011,24.4,651,29,635,31,632,30
178,SMRT,1,60,21021,24.9,652,30,636,32,633,31
178,SMRT,1,61,21171,25.7,654,32,638,34,634,32
178,SMRT,1,62,21181,26.2,656,33,639,35,635,33
178,SMRT,1,63,21191,26.5,657,34,640,36,636,34
178,SMRT,1,64,21271,26.7,658,35,641,37,637,35
178,SMRT,1,65,21201,27,659,36,642,38,638,36
178,SMRT,1,66,21211,27.4,701,37,643,39,639,37
178,SMRT,1,67,21681,27.8,703,39,645,41,641,39
178,SMRT,1,68,21691,28.1,704,40,646,42,642,40
178,SMRT,1,69,22491,29.2,710,44,650,46,646,44
178,SMRT,1,70,22009,29.7,713,47,653,49,649,47
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
